,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,검색명,업소URL,대표메뉴,가격정보,메뉴라벨링,외식비
17,영업,208178468,22.81,156801,서울특별시 동작구 노량진동 125-14,서울특별시 동작구 만양로14가길 18 (노량진동),6913.0,우리 학사주점,20200000000000.0,U,2021-12-06 0:09,한식,195082.5355,445575.9538,,동작구 노량진동우리 학사주점,1242771730,비빔밥,"5,000원",비빔밥,9654
18,영업,02537 9943,46.0,156816,서울특별시 동작구 사당동 139-19번지 외 1필지 1층 ,서울특별시 동작구 동작대로27다길 2 (사당동외 1필지 1층),7008.0,육쌈냉면,20200000000000.0,U,2020-05-01 2:40,한식,198194.8185,442802.6815,한식,동작구 사당동육쌈냉면,20873032,물냉면+숯불고기,"7,000원",냉면,10423
19,영업,02  583 1976,40.46,156824,서울특별시 동작구 사당동 1006-8 ,서울특별시 동작구 동작대로23길 23 1층 (사당동),7013.0,이수 생삼겹살,20200000000000.0,U,2020-08-22 2:40,한식,198199.265,442423.4654,한식,동작구 사당동이수 생삼겹살,1995629009,급랭삼겹살(칠레산),"7,000원",삼겹살,18056
20,영업,02 8132261,42.0,156802,서울특별시 동작구 노량진동 211-58 ,서울특별시 동작구 만양로14다길 7 (노량진동),6914.0,자금성,20200000000000.0,U,2022-02-16 2:40,중국식,195105.9805,445453.4938,중국식,동작구 노량진동자금성,20895762,짜장면,"4,500원",자장면,6300
21,영업,02 8152250,72.9,156801,서울특별시 동작구 노량진동 120-2 ,서울특별시 동작구 만양로 85 (노량진동),6923.0,정동진,20200000000000.0,U,2020-12-04 2:40,한식,195010.9685,445424.4653,한식,동작구 노량진동정동진,13160686,은이버섯한방삼계탕,"15,000원",삼계탕,15385
22,영업,02  812 4530,28.0,156802,서울특별시 동작구 노량진동 221-62번지 1층 ,서울특별시 동작구 만양로 65-1 1층 (노량진동),6926.0,중국관,20200000000000.0,I,2018-08-31 23:59,중국식,195113.315,445255.3802,중국식,동작구 노량진동중국관,1169520702,짜장면,"4,500원",자장면,6300
23,영업,,43.0,156846,서울특별시 동작구 상도동 299-58,서울특별시 동작구 국사봉길 74 1층 106호 (상도동),7052.0,차고집냉면 동작점,20200000000000.0,U,2021-12-06 22:07,냉면집,193790.5229,443823.891,,동작구 상도동차고집냉면 동작점,1212136013,물냉면,"7,000원",냉면,10423
24,영업,,156.0,156860,서울특별시 동작구 흑석동 181-11번지 ,서울특별시 동작구 흑석로 111 2층 (흑석동),6910.0,초반식당,20200000000000.0,U,2019-09-25 2:40,한식,196500.5961,445150.0666,한식,동작구 흑석동초반식당,1608611702,숙성삼겹살 170g,"13,000원",삼겹살,18056
25,영업,,39.0,156832,서울특별시 동작구 상도동 365-1번지 ,서울특별시 동작구 상도로 179 (상도동),6937.0,할머니칼국수,20100000000000.0,I,2018-08-31 23:59,한식,194477.9257,444726.1571,한식,동작구 상도동할머니칼국수,38419421,칼국수,"6,000원",칼국수,8385
26,영업,02  32806617,65.0,156800,서울특별시 동작구 노량진동 58-10번지 1층 ,서울특별시 동작구 노량진로14길 14 (노량진동 1층),6922.0,향토밥상,20200000000000.0,U,2020-04-16 2:40,한식,194804.7399,445628.3051,한식,동작구 노량진동향토밥상,1006833539,삼겹살쌈밥 된장찌개,"8,000원",삼겹살,18056
27,영업,02 8120555,13.0,156859,서울특별시 동작구 흑석동 95-16 ,서울특별시 동작구 서달로12가길 7 (흑석동),6980.0,현주네김밥,20200000000000.0,U,2020-12-16 2:40,한식,196633.6081,444922.3495,한식,동작구 흑석동현주네김밥,933257177,유부김밥,"3,500원",김밥,2969
28,영업,,58.18,156816,서울특별시 동작구 사당동 133-13,서울특별시 동작구 동작대로29길 7 1층 (사당동),7008.0,홍두깨칼국수,20200000000000.0,U,2021-12-05 23:06,한식,198307.1196,442861.5331,,동작구 사당동홍두깨칼국수,1271679732,손칼국수,"3,000원",칼국수,8385
29,영업,,66.36,156815,서울특별시 동작구 사당동 88-22 ,서울특별시 동작구 동작대로29가길 11 1층 (사당동),6997.0,후통&쟁반집 이수점,20200000000000.0,I,2022-03-27 0:22,한식,198275.1063,442932.9797,한식,동작구 사당동후통&쟁반집 이수점,1002714897,삼겹살 목살 항정살 냉삼겹 짜장면,"10,900원",자장면,6300
30,영업,,66.36,156815,서울특별시 동작구 사당동 88-22 ,서울특별시 동작구 동작대로29가길 11 1층 (사당동),6997.0,후통&쟁반집 이수점,20200000000000.0,I,2022-03-27 0:22,한식,198275.1063,442932.9797,한식,동작구 사당동후통&쟁반집 이수점,1002714897,삼겹살 목살 항정살 냉삼겹 짜장면,"10,900원",삼겹살,18056
31,영업,02 5259100,160.28,156827,서울특별시 동작구 사당동 1043-13 ,서울특별시 동작구 동작대로 7 (사당동),7025.0,훈장골,20200000000000.0,U,2020-12-20 2:40,한식,198260.6064,441663.5467,한식,동작구 사당동훈장골,37918939,물냉면,"10,000원",냉면,10423
