상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명
영업,234789292,82,156816,서울특별시 동작구 사당동 139-27 ,서울특별시 동작구 동작대로27다길 8 1층 (사당동),7008,미고삼,2.02E+13,U,2021-03-04 2:40,한식,198192.2944,442781.6882,한식
영업,02 8310527,466.27,156849,서울특별시 동작구 신대방동 425 (지하1층) ,서울특별시 동작구 보라매로5길 20 (신대방동(지하1층)),,셰프앤유,2.02E+13,U,2021-07-03 2:40,한식,193235.494,443510.4208,한식
영업,,79,156854,서울특별시 동작구 신대방동 694-14 ,서울특별시 동작구 대림로 29 1층 (신대방동),7073,와우치킨바베큐,2.02E+13,U,2020-06-26 2:40,한식,191958.1695,442754.7542,한식
영업,02  822 3005,48.04,156810,서울특별시 동작구 대방동 386-3번지 ,서울특별시 동작구 여의대방로36길 10-9 1층 (대방동),6945,이가네,2.02E+13,U,2020-04-16 2:40,한식,193154.9665,444706.5059,한식
영업,,36.36,156859,서울특별시 동작구 흑석동 97-6 ,서울특별시 동작구 서달로12길 13 1층 (흑석동),6979,흑석전집,2.02E+13,I,2020-10-07 0:23,한식,196624.5789,444980.1061,한식
영업,02  32806617,65,156800,서울특별시 동작구 노량진동 58-10번지 1층 ,서울특별시 동작구 노량진로14길 14 (노량진동 1층),6922,향토밥상,2.02E+13,U,2020-04-16 2:40,한식,194804.7399,445628.3051,한식
영업,,28.9,156831,서울특별시 동작구 상도동 169-31 ,서울특별시 동작구 상도로30길 22 (상도동),6964,정다운식당,2.02E+13,U,2020-11-13 2:40,한식,194806.8416,444712.3264,한식
영업,02 8120555,13,156859,서울특별시 동작구 흑석동 95-16 ,서울특별시 동작구 서달로12가길 7 (흑석동),6980,현주네김밥,2.02E+13,U,2020-12-16 2:40,한식,196633.6081,444922.3495,한식
영업,02 8450177,88.02,156849,서울특별시 동작구 신대방동 395-69번지 ,서울특별시 동작구 보라매로5가길 16 (신대방동),7071,명가,2.02E+13,I,2018-08-31 23:59,한식,193218.364,443239.5811,한식
영업,02 8239600,313.51,156808,서울특별시 동작구 대방동 341-1번지 ,서울특별시 동작구 여의대방로54길 5 (대방동),6938,초록애,2.02E+13,I,2018-08-31 23:59,한식,193381.6368,445532.4394,한식
영업,,35.52,156840,서울특별시 동작구 상도동 235-37 상현빌딩 ,서울특별시 동작구 성대로29길 1 상현빌딩 1층 (상도동),6962,미자네식당,2.02E+13,U,2021-12-07 2:40,한식,194606.3065,444102.2767,한식
영업,02  812 6267,23.72,156803,서울특별시 동작구 노량진동 240-51 ,서울특별시 동작구 장승배기로 155 (노량진동),6929,돈오비,2.02E+13,U,2020-10-25 2:40,한식,194625.0406,445477.1855,한식
영업,02 5811419,170.88,156826,서울특별시 동작구 사당동 1032-1번지 ,서울특별시 동작구 동작대로7길 19 (사당동),7015,전주전집,2.02E+13,U,2020-06-13 2:40,한식,198219.1632,441940.8139,한식
영업,,42.33,156813,서울특별시 동작구 노량진동 330번지 지하1층 제지하22호 ,서울특별시 동작구 만양로 84 (노량진동 지하1층 제지하22호),6914,토담,2.02E+13,I,2018-08-31 23:59,한식,195079.2655,445413.2884,한식
영업,02537 9943,46,156816,서울특별시 동작구 사당동 139-19번지 외 1필지 1층 ,서울특별시 동작구 동작대로27다길 2 (사당동외 1필지 1층),7008,육쌈냉면,2.02E+13,U,2020-05-01 2:40,한식,198194.8185,442802.6815,한식
영업,,34.84,156030,서울특별시 동작구 상도동 494-1 ,서울특별시 동작구 상도로 372-3 2층 2호 (상도동),7040,(주)라이프키친,2.02E+13,U,2021-09-02 2:40,한식,195843.4579,443694.0374,한식
영업,02  583 1976,40.46,156824,서울특별시 동작구 사당동 1006-8 ,서울특별시 동작구 동작대로23길 23 1층 (사당동),7013,이수 생삼겹살,2.02E+13,U,2020-08-22 2:40,한식,198199.265,442423.4654,한식
영업,02 8213275,38.23,156030,서울특별시 동작구 상도동 535 상도2차두산위브트레지움아파트 ,서울특별시 동작구 상도로30길 40 1층 120호 (상도동 상도2차두산위브트레지움아파트),6964,김가네김밥,2.02E+13,U,2020-10-24 2:40,한식,194870.3844,444631.1127,한식
영업,,27.8,156825,서울특별시 동작구 사당동 1019-9 ,서울특별시 동작구 사당로30길 81 (사당동),7014,양푼이 식당,2.02E+13,U,2021-11-18 2:40,한식,198242.8043,442112.0483,한식
영업,,20,156821,서울특별시 동작구 사당동 268-30 ,서울특별시 동작구 사당로16가길 24 1층 (사당동),7010,오늘쉐프,2.02E+13,I,2021-11-12 0:22,한식,197470.2402,442338.1271,한식
영업,232805959,91.62,156030,서울특별시 동작구 상도동 477-17 ,서울특별시 동작구 상도로37길 74 (상도동),6971,황새골손칼국수,2.02E+13,U,2020-11-25 2:40,한식,195758.0858,443972.0029,한식
영업,,13.23,156806,서울특별시 동작구 노량진동 307-9 ,서울특별시 동작구 장승배기로 123-6 (노량진동),6935,풍년집,2.02E+13,I,2020-10-07 0:23,한식,194569.0485,445150.7201,한식
영업,,23,156826,서울특별시 동작구 사당동 1032-45 ,서울특별시 동작구 동작대로7길 49 1층 (사당동),7015,윤공,2.02E+13,I,2021-05-16 0:23,한식,198124.3364,441828.541,한식
영업,02 8137799,258.08,156800,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상2층 14호 (노량진동),6900,부산일번지,2.02E+13,U,2021-01-09 2:40,한식,194346.1567,445823.5009,한식
영업,02 8245830,29.7,156800,서울특별시 동작구 노량진동 36-5 ,서울특별시 동작구 노량진로8길 35 (노량진동),6928,원조마포갈비,2.02E+13,U,2020-12-05 2:40,한식,194390.7938,445604.7429,한식
영업,,38.06,156801,서울특별시 동작구 노량진동 127-9 ,서울특별시 동작구 만양로14길 39 1층 (노량진동),6913,효례국밥,2.02E+13,I,2021-10-21 0:22,한식,195177.4246,445566.811,한식
영업,02  8235646,50,156871,서울특별시 동작구 상도1동 721-1 ,서울특별시 동작구 양녕로 247-1 지상1층 (상도1동),6965,터널돼지갈비,2.02E+13,U,2020-12-12 2:40,한식,195221.6164,444516.3949,한식
영업,031811 2132,39.6,156800,서울특별시 동작구 노량진동 89-2 ,서울특별시 동작구 노량진로16길 26 (노량진동),6923,보드람치킨,2.02E+13,U,2021-09-10 2:40,한식,194964.0928,445575.5552,한식
영업,,43.4,156800,서울특별시 동작구 노량진동 41-5번지 ,서울특별시 동작구 노량진로 110 1층 112호 (노량진동),6928,부자왕만두냉면,2.02E+13,I,2019-07-10 2:21,한식,194450.9386,445665.8267,한식
영업,,173,156800,서울특별시 동작구 노량진동 56-14번지 지하1층 ,서울특별시 동작구 장승배기로28길 19 (노량진동 지하1층),6922,유가네한우곰탕 노량진점,2.02E+13,U,2019-12-05 2:40,한식,194743.4057,445585.9436,한식
영업,02 5873293,30.7,156826,서울특별시 동작구 사당동 1032-13번지 ,서울특별시 동작구 동작대로7길 35 (사당동),7015,삼통치킨.사당역점,2.02E+13,I,2018-08-31 23:59,한식,198172.2897,441870.0626,한식
영업,208178468,22.81,156801,서울특별시 동작구 노량진동 125-14,서울특별시 동작구 만양로14가길 18 (노량진동),6913,우리 학사주점,2.02E+13,U,2021-12-06 0:09,한식,195082.5355,445575.9538,
영업,02 8214138,46.85,156860,서울특별시 동작구 흑석동 106-32번지 ,서울특별시 동작구 서달로15길 12 (흑석동),6972,곱창스토브(stove),2.01E+13,I,2018-08-31 23:59,한식,196619.709,445141.4066,한식
영업,02 8412070,87.17,156849,서울특별시 동작구 신대방동 395-69 아카데미218호 ,서울특별시 동작구 보라매로5가길 16 (신대방동아카데미218호),7071,원할머니보쌈보라매점,2.02E+13,U,2020-12-03 2:40,한식,193218.364,443239.5811,한식
영업,,34.32,156841,서울특별시 동작구 상도동 208-10 1층 ,서울특별시 동작구 장승배기로 5 (상도동 1층),7047,오뎅수산,2.02E+13,U,2021-08-14 2:40,한식,194942.1805,444110.395,한식
영업,02 5259100,160.28,156827,서울특별시 동작구 사당동 1043-13 ,서울특별시 동작구 동작대로 7 (사당동),7025,훈장골,2.02E+13,U,2020-12-20 2:40,한식,198260.6064,441663.5467,한식
영업,,27,156859,서울특별시 동작구 흑석동 95-16번지 ,서울특별시 동작구 서달로12가길 7 (흑석동),6980,옛날 보리밥집,2.01E+13,I,2018-08-31 23:59,한식,196633.6081,444922.3495,한식
영업,,20.15,156787,서울특별시 동작구 신대방동 707 현대아파트상가 B동 120호,서울특별시 동작구 여의대방로 28 (신대방동),7064,김밥짱,2.02E+13,U,2020-12-03 2:40,한식,192170.1558,443599.419,한식
영업,02  5975010,25.9,156826,서울특별시 동작구 사당동 1038-35번지 ,서울특별시 동작구 동작대로7길 62-1 1층 (사당동),7025,무안수산,2.02E+13,U,2019-07-27 2:40,한식,198074.0562,441783.0677,한식
영업,208230739,52.5,156840,서울특별시 동작구 상도동 246-1 ,서울특별시 동작구 성대로1길 10 (상도동),6959,남도추어탕,2.02E+13,U,2020-12-13 2:40,한식,194022.7074,444266.7974,한식
영업,02 8215400,45.64,156847,서울특별시 동작구 신대방동 347-13 ,서울특별시 동작구 보라매로 106 (신대방동),7053,포마토김밥,2.02E+13,U,2020-12-13 2:40,한식,193595.53,444057.1081,한식
영업,02 8159288,75.9,156848,서울특별시 동작구 신대방동 367-33,서울특별시 동작구 여의대방로22길 20 2층 (신대방동),7058,서일식당,2.02E+13,U,2021-12-04 0:08,한식,192937.9311,443921.2796,
영업,02 8178895,50.44,156802,서울특별시 동작구 노량진동 210-8 ,서울특별시 동작구 만양로14길 22 (노량진동),6914,배달의 명가,2.02E+13,U,2021-05-30 2:40,한식,195116.0603,445503.5668,한식
영업,,49.5,156824,서울특별시 동작구 사당동 1001-1 ,서울특별시 동작구 사당로 260 (사당동),7012,사당아바이 순대,2.02E+13,U,2021-08-14 2:40,한식,197871.3299,442356.9504,한식
영업,208414115,15.51,156854,서울특별시 동작구 신대방동 690-2 ,서울특별시 동작구 대림로 42 (신대방동),7070,고바우식당,2.02E+13,U,2021-12-14 2:40,한식,191865.9381,442829.8591,한식
영업,02 8177979,49.5,156807,서울특별시 동작구 대방동 11-51번지 ,서울특별시 동작구 등용로 72 1층 (대방동),6933,처갓집양념치킨 대방점,2.02E+13,U,2019-10-31 2:40,한식,193955.4573,445041.082,한식
영업,02 812 3802,27.13,156030,서울특별시 동작구 상도동 488 ,서울특별시 동작구 상도로 357 (상도동),6978,상도곱창,2.02E+13,U,2021-09-29 2:40,한식,195821.726,443860.5965,한식
영업,,15.3,156824,서울특별시 동작구 사당동 708-988번지 1층 ,서울특별시 동작구 동작대로25길 54 (사당동 1층),7008,기장산꼼장어,2.02E+13,U,2019-04-27 2:40,한식,198125.2964,442537.5415,한식
영업,02 8167929,20.96,156803,서울특별시 동작구 노량진동 233-12 ,서울특별시 동작구 장승배기로 139 (노량진동),6935,포대포소금구이,2.02E+13,U,2021-12-14 2:40,한식,194621.9765,445308.1055,한식
영업,02 8164929,18.6,156800,서울특별시 동작구 노량진동 85-37 ,서울특별시 동작구 노량진로14가길 16 (노량진동),6923,고바우,2.02E+13,U,2021-12-14 2:40,한식,194932.5033,445598.2744,한식
영업,02 8158866,71.8,156030,서울특별시 동작구 상도동 502-2 ,서울특별시 동작구 상도로61길 23 1층 (상도동),7027,부리또집(BURRITO ZIP),2.02E+13,U,2020-08-08 2:40,한식,196060.4627,443653.8811,한식
영업,,32,156815,서울특별시 동작구 사당동 89-30 ,서울특별시 동작구 동작대로33길 17 1층 우측호 (사당동),6997,13번지,2.02E+13,U,2020-10-24 2:40,한식,198270.2162,443053.4315,한식
영업,02843 7003,177.6,156855,서울특별시 동작구 신대방동 708 ,서울특별시 동작구 보라매로3길 29 상가동 2층 44 45호 (신대방동 해태보라매타워),7071,순남시래기,2.02E+13,U,2020-12-11 2:40,한식,193279.5991,443230.4182,한식
영업,28333063,91.62,156713,서울특별시 동작구 신대방동 395-69번지 보라매아카데미타워 ,서울특별시 동작구 보라매로5가길 16 216호 (신대방동 보라매아카데미타워),7071,종로계림닭도리탕원조 보라매공원점,2.02E+13,I,2020-02-22 0:23,한식,193218.364,443239.5811,한식
영업,02814 1117,57.45,156861,서울특별시 동작구 흑석동 182-14,서울특별시 동작구 흑석로 110-1 (흑석동),6972,빙맥덕후,2.02E+13,U,2021-12-06 23:02,한식,196517.7699,445113.5323,
영업,02  8121422,82.44,156801,서울특별시 동작구 노량진동 119-74번지 (1층) ,서울특별시 동작구 만양로 89-1 (노량진동(1층)),6923,연가,2.02E+13,U,2019-10-13 2:40,한식,194994.6936,445476.3899,한식
영업,,38.16,156824,서울특별시 동작구 사당동 1006-12번지 ,서울특별시 동작구 동작대로21길 16 (사당동),7013,장가네장어탕,2.01E+13,I,2018-08-31 23:59,한식,198239.1492,442417.5439,한식
영업,,52,156848,서울특별시 동작구 신대방동 361-57 ,서울특별시 동작구 여의대방로22길 80 1층 (신대방동),7059,이고집쭈꾸미,2.02E+13,U,2021-11-05 2:40,한식,193253.5926,443947.798,한식
영업,,36.36,156861,서울특별시 동작구 흑석동 190-41번지 1층 ,서울특별시 동작구 흑석로 87 (흑석동 1층),6910,곱창의 전설,2.02E+13,U,2018-10-27 2:37,한식,196336.3744,445018.0104,한식
영업,208176111,105.27,156050,서울특별시 동작구 노량진동 117-16번지 ,서울특별시 동작구 만양로 108 (노량진동),6913,노량진 생고기,2.02E+13,I,2018-08-31 23:59,한식,195020.0657,445651.8581,한식
영업,,74,156830,서울특별시 동작구 상도1동 775-1번지 1층 ,서울특별시 동작구 상도로 279 (상도1동 1층),6968,올바른식당상도점,2.02E+13,U,2019-03-08 2:40,한식,195386.0208,444483.6221,한식
영업,,33,156853,서울특별시 동작구 신대방동 618-25번지 ,서울특별시 동작구 신대방길 12 1층 (신대방동),7067,남도식당,2.02E+13,I,2019-11-07 0:23,한식,192145.5801,442876.9559,한식
영업,02  834 5777,200,156854,서울특별시 동작구 신대방동 686-74번지 1층 ,서울특별시 동작구 대림로 57 (신대방동 1층),7072,낙지세상,2.02E+13,U,2019-06-02 2:40,한식,191711.2576,442895.4457,한식
영업,02845 0027,23.4,156853,서울특별시 동작구 신대방동 616-38번지 ,서울특별시 동작구 신대방길 56 나동 1층 (신대방동),7067,소반,2.02E+13,I,2018-08-31 23:59,한식,191957.6822,442917.525,한식
영업,02 8267778,44.84,156801,서울특별시 동작구 노량진동 119-155 ,서울특별시 동작구 만양로 94-2 (노량진동),6913,빽다방노량진학원점,2.02E+13,U,2020-12-18 2:40,한식,195017.4842,445515.5222,한식
