상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소URL
영업,,33.1,135925,서울특별시 강남구 역삼동 751-18 ,서울특별시 강남구 역삼로 135 지하1층 2호 (역삼동),6244.0,타이홀릭,20200000000000.0,U,2022-03-04 2:40,한식,202969.8043,443592.5138,한식,1063243957
영업,,111.77,135913,서울특별시 강남구 역삼동 655-7,서울특별시 강남구 언주로107길 23 지상2층 주방15호 (역삼동),6137.0,키친스탠다드 강남점 15호,20200000000000.0,I,2021-12-04 22:01,한식,203236.8723,445017.3665,,-
영업,5616414,75.9,135920,서울특별시 강남구 역삼동 722-0번지 경남아파트상가지상1층111호 ,서울특별시 강남구 언주로85길 13 (역삼동경남아파트상가지상1층111호),6222.0,킹콩생고기,20200000000000.0,I,2018-08-31 23:59,한식,203671.6457,444263.0752,한식,811068949
영업,,48.51,135930,서울특별시 강남구 역삼동 796-29 역삼종합시장 더블루,서울특별시 강남구 논현로63길 16 지하1층 (역삼동 역삼종합시장 더블루),6257.0,제이씨엠 정성가득한밥상,20200000000000.0,I,2021-12-05 23:06,한식,203389.5627,443422.7793,,-
영업,5183692,21.0,135838,서울특별시 강남구 대치동 626-0번지 지하1층 38호 ,서울특별시 강남구 남부순환로 2917 (대치동지하1층 38호),6280.0,청실식당,20100000000000.0,I,2018-08-31 23:59,한식,205154.6381,443439.9816,한식,36003989
영업,,496.29,135957,서울특별시 강남구 청담동 127-19 ,서울특별시 강남구 도산대로101길 9 지상1층 2층 (청담동),6013.0,청담제주물항,20200000000000.0,U,2021-04-03 2:40,한식,204564.6771,447060.1763,한식,1385877923
영업,02  547 1092,104.92,135893,서울특별시 강남구 신사동 589-10번지 SAMO ,서울특별시 강남구 논현로152길 27 SAMO 지상1층 (신사동),6025.0,청담 플러스,20200000000000.0,I,2019-10-31 0:23,한식,202614.4298,446591.5118,한식,1343258102
영업,,29.7,135897,서울특별시 강남구 신사동 657-3 ,서울특별시 강남구 선릉로157길 29 지상1층 (신사동),6018.0,모퉁이집,20200000000000.0,U,2021-10-02 2:40,한식,203230.0602,447110.4932,한식,20847271
영업,,142.0,135962,서울특별시 강남구 개포동 1218-20,서울특별시 강남구 개포로22길 27 지상1층 (개포동 두호빌딩),6308.0,강남감자탕해장국,20200000000000.0,U,2021-12-07 0:06,한식,204263.8503,441685.1183,,1680724540
영업,054 436 2228,185.75,135513,서울특별시 강남구 역삼동 700-27 ,서울특별시 강남구 언주로94길 13 지상1층 (역삼동),6147.0,배수경 양재정육식당,20200000000000.0,U,2022-02-19 2:40,한식,203757.9645,444700.323,한식,1412432643
영업,02  554 0722,171.11,135915,서울특별시 강남구 역삼동 670-17번지 ,서울특별시 강남구 논현로94길 25-5 지상2층 (역삼동 화가빌딩),6140.0,와인주막차차역삼점,20200000000000.0,I,2018-08-31 23:59,한식,203296.089,444556.4826,한식,986237641
영업,02 5558095,99.27,135935,서울특별시 강남구 역삼동 827-24 ,서울특별시 강남구 테헤란로6길 48 (역삼동),6240.0,나이티지 본점,20200000000000.0,U,2021-07-21 2:40,한식,202725.0485,443705.6891,한식,1255704256
영업,,200.31,135832,서울특별시 강남구 논현동 249-13번지 ,서울특별시 강남구 학동로42길 52 1층 (논현동),6101.0,담담,20200000000000.0,I,2018-08-31 23:59,한식,203148.855,445544.2761,한식,1174402734
영업,02  477 1010,369.7,135835,서울특별시 강남구 대치동 611 강남대학교 카이로스빌딩,서울특별시 강남구 삼성로51길 11 강남대학교 카이로스빌딩 1층 106호 (대치동),6280.0,가람푸드써비스(주) 시대인재신관,20200000000000.0,U,2021-12-05 22:05,한식,205291.0891,443785.0019,,-
영업,,92.4,135845,서울특별시 강남구 대치동 943-12번지 ,서울특별시 강남구 테헤란로84길 13 (대치동),6179.0,부산아지매국밥 포스코사거리점,20200000000000.0,I,2018-08-31 23:59,한식,205132.592,444905.3965,한식,32496637
영업,,158.41,135825,서울특별시 강남구 논현동 164-12번지 ,서울특별시 강남구 강남대로122길 5 지상2층 (논현동),6114.0,모모,20200000000000.0,U,2019-03-17 2:40,한식,202028.549,445051.4569,한식,36097674
영업,5645959,450.96,135842,서울특별시 강남구 대치동 986-5번지 지상1층 ,서울특별시 강남구 도곡로93길 7 (대치동지상1층),6190.0,오발탄 대치점,20200000000000.0,U,2020-03-15 2:40,한식,205628.0865,444263.087,한식,1176653325
영업,,21.6,135886,서울특별시 강남구 수서동 738번지 동익아파트 상가 지상1층 102호 ,서울특별시 강남구 광평로39길 3 상가 지상1층 102호 (수서동 동익아파트),6352.0,능이버섯삼계탕 죽 전문,20200000000000.0,I,2018-11-14 2:36,한식,208466.1722,442574.0203,한식,-
영업,02  539 0722,13.69,135919,서울특별시 강남구 역삼동 711-6 역삼자이 ,서울특별시 강남구 언주로 408 역삼자이상가 지하1층 B05호 (역삼동),6214.0,행복탕수육 강남,20200000000000.0,U,2021-09-09 2:40,한식,203882.778,444136.167,한식,1072807084
영업,5545234,92.13,135839,서울특별시 강남구 대치동 890-16번지 하이리빙빌딩지하2층 ,서울특별시 강남구 테헤란로 420 (대치동하이리빙빌딩지하2층),6193.0,상차려주는집,20100000000000.0,I,2018-08-31 23:59,한식,204575.367,444772.8911,한식,-
영업,02  549 0067,179.86,135955,서울특별시 강남구 청담동 120-7번지 ,서울특별시 강남구 압구정로79길 18 지상12층 (청담동),6011.0,고수,20200000000000.0,I,2020-02-20 0:23,한식,204229.7445,446981.5836,한식,1008380466
영업,,148.0,135911,서울특별시 강남구 역삼동 646-11번지 ,서울특별시 강남구 테헤란로21길 8 지상1층 (역삼동),6132.0,남도술상,20200000000000.0,I,2019-11-16 0:23,한식,202982.5625,444287.6278,한식,1445295618
영업,,93.19,135897,서울특별시 강남구 신사동 657-38번지 ,서울특별시 강남구 선릉로157길 13-3 지하1층 (신사동),6018.0,한량,20200000000000.0,I,2019-03-08 2:21,한식,203350.3571,447061.2717,한식,1230844929
영업,,119.44,135802,서울특별시 강남구 개포동 158-2 ,서울특별시 강남구 선릉로6길 8 2층 201호 (개포동),6325.0,참대식당,20200000000000.0,I,2020-09-02 0:23,한식,205386.6519,442266.041,한식,1984563524
영업,02  518 0661,84.63,135871,서울특별시 강남구 삼성동 91-22 ,서울특별시 강남구 영동대로114길 11 (삼성동),6081.0,들녁,20200000000000.0,U,2021-02-06 2:40,한식,205311.0424,445928.7564,한식,18448214
영업,02  564 9993,287.6,135880,서울특별시 강남구 삼성동 157-15 구암빌딩 ,서울특별시 강남구 테헤란로81길 22 구암빌딩 지하1층 (삼성동),6168.0,우화당,20200000000000.0,I,2022-02-13 0:22,한식,204966.435,445144.615,한식,1161199107
영업,5668877,99.5,135878,서울특별시 강남구 삼성동 149-31번지 ,서울특별시 강남구 봉은사로84길 34 지상1 2층 (삼성동),6165.0,이자카야 한잔 삼성본점,20200000000000.0,I,2018-08-31 23:59,한식,204896.709,445440.2018,한식,1718904285
영업,02  69541160,25.0,135925,서울특별시 강남구 역삼동 751-13번지 우성빌딩 ,서울특별시 강남구 역삼로 145 우성빌딩 지상1층 103호 (역삼동),6244.0,두찜 강남역삼점,20200000000000.0,U,2019-06-16 2:40,한식,203043.6059,443620.5337,한식,1791810434
영업,205698726,99.93,135881,서울특별시 강남구 삼성동 165-12번지 ,서울특별시 강남구 봉은사로108길 21 (삼성동),6172.0,이남장영동점,20200000000000.0,I,2018-08-31 23:59,한식,205627.5377,445712.0758,한식,-
영업,02 5565060,34.0,135969,서울특별시 강남구 대치동 316-0 은마상가B-2122,서울특별시 강남구 삼성로 212 (대치동은마상가B-2122),6284.0,광주식당,20200000000000.0,U,2021-12-03 22:08,한식,205707.0894,443914.1941,,19877358
영업,,165.0,135917,서울특별시 강남구 역삼동 689-6번지 1층 ,서울특별시 강남구 언주로 536 (역삼동1층),6147.0,꽃새우 영번지,20200000000000.0,I,2018-08-31 23:59,한식,203588.4941,444887.1727,한식,20413792
영업,,62.4,135892,서울특별시 강남구 신사동 584-1 유림아트홀 ,서울특별시 강남구 압구정로28길 49 유림아트홀 지상1층 109호110호 (신사동),6031.0,로바타 탄요,20200000000000.0,U,2022-03-17 2:40,한식,202378.3283,446784.3879,한식,1304420575
영업,,68.31,135829,서울특별시 강남구 논현동 218-1번지 지상1층 ,서울특별시 강남구 언주로125길 5 (논현동지상1층),6106.0,서울왕돈까스,20200000000000.0,U,2019-11-29 2:40,한식,203003.2039,445635.8412,한식,21434131
영업,,220.57,135855,서울특별시 강남구 도곡동 425-0번지 오션스퀘어빌딩 지하1층 ,서울특별시 강남구 논현로 136 지하1층 (도곡동 오션스퀘어빌딩),6302.0,네모오징어 도곡본점,20200000000000.0,I,2018-08-31 23:59,한식,203754.2236,442190.0584,한식,35727428
영업,,323.97,135917,서울특별시 강남구 역삼동 697-11 ,서울특별시 강남구 선릉로93길 18 지상2층 (역삼동),6148.0,주식회사 베레푸드 서래향 기세끼,20200000000000.0,U,2021-08-15 2:40,한식,204069.1371,444786.1165,한식,-
영업,2,138.6,135935,서울특별시 강남구 역삼동 827-45번지 지상1층 ,서울특별시 강남구 강남대로84길 32 (역삼동지상1층),6240.0,영동껍데기,20200000000000.0,U,2019-10-13 2:40,한식,202685.2188,443869.7791,한식,1003003020
영업,,80.0,135943,서울특별시 강남구 일원동 624-3 청정빌딩 ,서울특별시 강남구 개포로 644 청정빌딩 지상4층 (일원동),6339.0,강남족발,20200000000000.0,U,2021-08-27 2:40,한식,207298.9795,443607.4869,한식,1091575912
영업,,545.5,135513,서울특별시 강남구 역삼동 700-33번지 ,서울특별시 강남구 테헤란로43길 17 지상1층지하1층 (역삼동),6147.0,별양집,20200000000000.0,U,2018-12-22 2:40,한식,203793.1027,444692.6806,한식,19872940
영업,,125.6,135876,서울특별시 강남구 삼성동 141-28번지 동신빌딩 ,서울특별시 강남구 테헤란로 409 동신빌딩 1층 (삼성동),6162.0,지구당 선릉역점,20200000000000.0,U,2019-10-30 2:40,한식,204389.2637,444809.6501,한식,1828080551
영업,,61.05,135823,서울특별시 강남구 논현동 127번지 ,서울특별시 강남구 학동로 158 지하2층 107호 (논현동),6112.0,탑회수산,20200000000000.0,I,2018-08-31 23:59,한식,202424.9334,445633.8294,한식,-
영업,,23.0,135920,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오,서울특별시 강남구 언주로85길 32 역삼역센트럴푸르지오 지하1층 B104A호- CA03호 (역삼동),6221.0,33 돼지야,20200000000000.0,I,2021-12-06 22:00,한식,203519.2709,444294.8425,,-
영업,,10.0,135833,서울특별시 강남구 논현동 277-27 TGL 경복빌딩 ,서울특별시 강남구 봉은사로 303 TGL 경복빌딩 지하1층 (논현동),6103.0,카이스파,20200000000000.0,I,2020-09-19 0:23,한식,203479.293,445256.3135,한식,1620102562
영업,02  5675829,140.0,135935,서울특별시 강남구 역삼동 828-54번지 지상1층 ,서울특별시 강남구 논현로79길 64 (역삼동지상1층),6239.0,가시리,20200000000000.0,I,2018-08-31 23:59,한식,202914.5579,443780.9964,한식,13149954
영업,,13.3,135748,서울특별시 강남구 역삼동 648-23 여삼빌딩,서울특별시 강남구 테헤란로 123 여삼빌딩 지하1층 5호 (역삼동),6133.0,당주당냉면,20200000000000.0,I,2021-12-04 22:08,한식,202716.535,444150.93,,-
영업,02  568 0689,148.68,135840,서울특별시 강남구 대치동 896-52 지상1층,서울특별시 강남구 선릉로86길 48 지상1층 (대치동),6197.0,은행골,20200000000000.0,U,2021-12-06 22:08,한식,204673.1188,444654.5384,,31363816
영업,02  529 0090,64.0,135854,서울특별시 강남구 도곡동 413-7번지 101호,서울특별시 강남구 논현로34길 19 101호 (도곡동),6296.0,삼식이감자탕,20200000000000.0,I,2018-08-31 23:59,한식,203771.6493,442507.1838,한식,1177078206
영업,,146.19,135931,서울특별시 강남구 역삼동 817-18 ,서울특별시 강남구 강남대로96길 15 지상1층 (역삼동),6129.0,강남일미포차,20200000000000.0,U,2020-11-26 2:40,한식,202427.4911,444209.2755,한식,1839161917
영업,02 5112932,55.25,135888,서울특별시 강남구 신사동 516-10번지 ,서울특별시 강남구 강남대로156길 40 (신사동),6035.0,오늘 와인한잔 세로수길점,20200000000000.0,U,2018-10-25 2:37,한식,201904.9095,446296.1644,한식,1837968259
영업,,45.0,135937,서울특별시 강남구 역삼동 837-13 강남역 와이즈 플레이스,서울특별시 강남구 강남대로66길 14 강남역 와이즈 플레이스 지하1층 B102호 (역삼동),6253.0,다다익찬,20200000000000.0,I,2021-12-06 23:04,한식,202746.0401,443281.217,,1058398832
영업,,16.5,135829,서울특별시 강남구 논현동 227-4번지 양지상가 ,서울특별시 강남구 봉은사로33길 33 지상1층 42호 (논현동 양지상가),6107.0,깐쵸 간장 새우,20100000000000.0,I,2018-08-31 23:59,한식,203005.088,445311.31,한식,-
영업,,173.58,135854,서울특별시 강남구 도곡동 411-12 KOBA ,서울특별시 강남구 남부순환로 2724 KOBA 1층 (도곡동),6296.0,무쏘 도곡점,20200000000000.0,U,2021-02-10 2:40,한식,203818.1611,442598.4607,한식,1282460598
영업,,199.02,135995,서울특별시 강남구 논현동 70-8번지 백향빌딩 ,서울특별시 강남구 언주로141길 6 백향빌딩 지상1층 (논현동),6050.0,우미각,20200000000000.0,I,2019-08-07 2:21,한식,202947.8021,446289.8721,한식,38737754
영업,02 5461808,78.49,135825,서울특별시 강남구 논현동 144-0번지 ,서울특별시 강남구 강남대로128길 10 (논현동),6114.0,60년 전통 신촌 황소곱창,20200000000000.0,I,2018-08-31 23:59,한식,201972.4365,445286.1897,한식,1017596309
영업,,161.61,135963,서울특별시 강남구 개포동 1228-1번지 ,서울특별시 강남구 논현로 62 1층 (개포동),6312.0,뼈감자탕 파불고기,20200000000000.0,I,2018-08-31 23:59,한식,204087.5203,441512.4433,한식,1397502377
영업,,40.33,135928,서울특별시 강남구 역삼동 779번지 ,서울특별시 강남구 언주로69길 7 지상1층 102호 (역삼동),6226.0,원할머니보쌈족발 대치배달점,20200000000000.0,I,2019-02-20 2:21,한식,203886.2484,443803.1963,한식,12928769
영업,02 5385503,74.17,135881,서울특별시 강남구 삼성동 162-19번지 ,서울특별시 강남구 봉은사로108길 3-10 (삼성동),6170.0,신의주 부대찌개 삼성점,20200000000000.0,I,2018-08-31 23:59,한식,205620.3693,445802.0987,한식,-
영업,,14.8,135920,서울특별시 강남구 역삼동 721-4번지 이원빌딩 ,서울특별시 강남구 테헤란로38길 29 이원빌딩 지하1층 10호 (역삼동),6222.0,모두의 주방,20200000000000.0,I,2019-10-10 0:22,한식,203711.5725,444265.1597,한식,1210533384
영업,,97.36,135878,서울특별시 강남구 삼성동 149-27번지 ,서울특별시 강남구 삼성로104길 13 지상1층 (삼성동),6165.0,탐라도야지,20200000000000.0,I,2018-08-31 23:59,한식,204856.2647,445428.8077,한식,37026271
영업,,15.0,135090,서울특별시 강남구 삼성동 159-7,서울특별시 강남구 테헤란로 517 지하1층 (삼성동),6164.0,면요리 연구소,20200000000000.0,U,2021-12-02 21:00,한식,205210.3588,445154.4223,,1500905091
영업,221877010,55.3,135856,서울특별시 강남구 도곡동 467-6번지 대림아크로상가지하10호 ,서울특별시 강남구 언주로30길 13 (도곡동대림아크로상가지하10호),6292.0,가마고을,20000000000000.0,I,2018-08-31 23:59,한식,204447.5688,442881.5352,한식,1371729410
영업,,45.0,135840,서울특별시 강남구 대치동 899-31 ,서울특별시 강남구 역삼로63길 13 지상1층 101호 (대치동),6198.0,꿀때기,20200000000000.0,U,2021-05-30 2:40,한식,204536.7459,444417.8353,한식,1298360185
영업,,29.02,135840,서울특별시 강남구 대치동 894 ,서울특별시 강남구 삼성로85길 33 지상1층 107호 (대치동),6196.0,면전,20200000000000.0,I,2021-03-20 0:22,한식,204776.5483,444677.643,한식,1828929937
영업,,22.95,135949,서울특별시 강남구 청담동 17-19번지 지하1층 ,서울특별시 강남구 도산대로70길 12-6 (청담동지하1층),6064.0,채움,20100000000000.0,I,2018-08-31 23:59,한식,203903.7202,446706.8157,한식,34721472
영업,,208.0,135882,서울특별시 강남구 삼성동 170-7번지 두양빌딩 ,서울특별시 강남구 테헤란로107길 6 지상1층 101호 (삼성동),6173.0,사계절,20200000000000.0,I,2019-11-13 0:23,한식,205732.7225,445340.6889,한식,1720017976
영업,02 5387733,778.0,135919,서울특별시 강남구 역삼동 708-20번지 ,서울특별시 강남구 테헤란로52길 15 지하2층 (역삼동),6212.0,진풍정(제이피강남),20200000000000.0,U,2020-02-26 2:40,한식,204170.0846,444548.3975,한식,-
영업,,56.2,135513,서울특별시 강남구 역삼동 700-23번지 지상1층101호 ,서울특별시 강남구 언주로98길 18 (역삼동지상1층101호),6147.0,싱싱이 야채막회,20200000000000.0,I,2018-08-31 23:59,한식,203749.9093,444736.2681,한식,37459359
영업,,55.03,135887,서울특별시 강남구 신사동 512-11 1층 ,서울특별시 강남구 강남대로152길 23 1층 (신사동),6035.0,신사포장마차 그때그자리에서,20200000000000.0,U,2020-10-01 2:40,한식,201807.2379,446164.3992,한식,-
영업,,59.4,135821,서울특별시 강남구 논현동 112-12번지 1층 ,서울특별시 강남구 선릉로131길 20 1층 (논현동),6059.0,전나라쭈꾸미,20100000000000.0,I,2018-08-31 23:59,한식,203406.6544,446147.2606,한식,36609885
영업,,168.54,135896,서울특별시 강남구 신사동 636-21 ,서울특별시 강남구 언주로170길 9 지상1층 (신사동),6017.0,압구정 실비식당,20200000000000.0,I,2021-07-24 0:23,한식,202979.69,447207.8769,한식,1981614517
영업,02 5386136,63.28,135924,서울특별시 강남구 역삼동 736-19번지 ,서울특별시 강남구 테헤란로20길 11-1 (역삼동),6236.0,강남보물섬,20100000000000.0,I,2018-08-31 23:59,한식,203000.0195,444092.0402,한식,33236530
영업,,162.34,135954,서울특별시 강남구 청담동 83-24번지 ,서울특별시 강남구 선릉로158길 11 1층 (청담동),6014.0,정식당 1층,20200000000000.0,I,2018-08-31 23:59,한식,203562.0153,447049.085,한식,-
영업,,33.06,135998,서울특별시 강남구 대치동 936 ,서울특별시 강남구 선릉로 312 1층 2호 (대치동),6206.0,컴포즈커피 대치한티점,20200000000000.0,U,2021-04-07 2:40,한식,204588.1879,443925.2445,한식,1469093543
영업,,60.82,135897,서울특별시 강남구 신사동 657-4,서울특별시 강남구 선릉로157길 27-4 지상1층 (신사동),6018.0,하얀상회,20200000000000.0,I,2021-12-06 21:01,한식,203226.4658,447097.4071,,1336036863
영업,02  512 1636,853.34,135894,서울특별시 강남구 신사동 613-5번지 지하2층B201B202B203호 ,서울특별시 강남구 압구정로32길 11 지하2층 B201B202B203호 (신사동),6022.0,마리에가든,20200000000000.0,I,2018-08-31 23:59,한식,202601.2166,447186.6595,한식,-
영업,,20.0,135949,서울특별시 강남구 청담동 12번지 지상1층 2호 ,서울특별시 강남구 삼성로149길 21 지상1층 2호 (청담동),6063.0,쇼쿠,20100000000000.0,I,2018-08-31 23:59,한식,203971.3124,446767.3944,한식,1070959941
영업,205682035,138.72,135910,서울특별시 강남구 역삼동 644-17번지 지상2층 ,서울특별시 강남구 강남대로94길 91 (역삼동지상2층),6131.0,거대식당,20200000000000.0,U,2019-06-21 2:40,한식,202989.9823,444312.7848,한식,1212997451
영업,,198.86,135897,서울특별시 강남구 신사동 656-6 ,서울특별시 강남구 도산대로51길 33 지상2층 (신사동),6019.0,미성양꼬치,20200000000000.0,U,2020-11-08 2:40,한식,203279.0135,447011.5568,한식,37997450
영업,02  566 9285,117.6,135935,서울특별시 강남구 역삼동 827-53번지 ,서울특별시 강남구 테헤란로6길 29 지상1층 (역삼동),6240.0,걸신맛집,20200000000000.0,I,2018-08-31 23:59,한식,202696.9596,443835.6304,한식,32333423
영업,02  5665233,83.07,135969,서울특별시 강남구 대치동 316번지 은마상가 B블럭 239호 ,서울특별시 강남구 삼성로 212 (대치동 은마상가 B블럭 239호),6284.0,봉평메밀촌,20100000000000.0,I,2018-08-31 23:59,한식,205707.0894,443914.1941,한식,33704362
영업,02 5495802,65.0,135822,서울특별시 강남구 논현동 140-3 ,서울특별시 강남구 강남대로128길 22 지상1층 101호 (논현동),6114.0,영희네포차,20200000000000.0,U,2021-03-07 2:40,한식,202062.638,445318.2373,한식,-
영업,222269991,89.0,135884,서울특별시 강남구 수서동 714-4번지 2층 ,서울특별시 강남구 광평로51길 6-11 (수서동2층),6349.0,신평양찹쌀순대,20200000000000.0,U,2019-03-13 2:40,한식,209062.2018,442929.5728,한식,37889713
영업,,274.48,135200,서울특별시 강남구 자곡동 359-5번지 지상1층 ,서울특별시 강남구 밤고개로23길 29-3 (자곡동지상1층),,함평한우장터,20200000000000.0,I,2018-08-31 23:59,한식,209518.6123,441458.4049,한식,18535416
영업,,21.45,135827,서울특별시 강남구 논현동 198-10 ,서울특별시 강남구 강남대로114길 20 지하1층 2호 (논현동),6120.0,팔공키친,20200000000000.0,U,2021-07-01 2:40,한식,202218.0028,444859.0426,한식,-
영업,,85.95,135957,서울특별시 강남구 청담동 126-7번지 지하1층 ,서울특별시 강남구 압구정로79길 49 (청담동지하1층),6013.0,청담동찌개전문점,20100000000000.0,I,2018-08-31 23:59,한식,204451.9595,447039.8237,한식,1445506871
영업,,54.86,135887,서울특별시 강남구 신사동 502-7 지층 ,서울특별시 강남구 강남대로 622 (신사동지층),6035.0,면치기 밥치기,20200000000000.0,U,2020-10-23 2:40,한식,201664.9298,446119.2027,한식,1767416520
영업,,30.0,135822,서울특별시 강남구 논현동 140-3번지 ,서울특별시 강남구 강남대로128길 22 1층 102호 (논현동),6114.0,청량리 광주냉면,20100000000000.0,I,2018-08-31 23:59,한식,202062.638,445318.2373,한식,1054384433
영업,,65.74,135840,서울특별시 강남구 대치동 891-44번지 노벨빌딩 ,서울특별시 강남구 테헤란로78길 16 노벨빌딩 지하1층 B04호 (대치동),6194.0,햇살소반,20200000000000.0,I,2018-11-21 2:37,한식,204828.0026,444777.6186,한식,1712583909
영업,234522087,97.75,135881,서울특별시 강남구 삼성동 161-6번지 ,서울특별시 강남구 봉은사로 620 (삼성동),6170.0,군산집,20200000000000.0,I,2018-08-31 23:59,한식,205523.2613,445804.3337,한식,1541831623
영업,205557145,34.7,135997,서울특별시 강남구 대치동 912-23 우진빌딩 ,서울특별시 강남구 삼성로 349 우진빌딩 지상1층 1호 (대치동),6202.0,미스터피자 대치점,20200000000000.0,U,2021-03-27 2:40,한식,205101.2897,444497.3115,한식,11826637
영업,,116.14,135840,서울특별시 강남구 대치동 897-28번지 ,서울특별시 강남구 테헤란로64길 24 1층 (대치동 유경빌딩),6198.0,장독대 김치찌개 선릉점,20200000000000.0,U,2019-08-15 2:40,한식,204480.4097,444568.4837,한식,-
영업,02  546 2305,122.1,135864,서울특별시 강남구 삼성동 8-1번지 ,서울특별시 강남구 선릉로 664 지상1층 (삼성동),6088.0,봉밀가,20200000000000.0,I,2018-08-31 23:59,한식,203668.6907,445963.9402,한식,36263099
영업,,14.55,135836,서울특별시 강남구 대치동 507-1 풍림프라자 ,서울특별시 강남구 남부순환로 2942 풍림프라자 지하1층 149호 (대치동),6291.0,압구정푸드,20200000000000.0,I,2022-02-22 0:22,한식,205448.46,443488.295,한식,1128095573
영업,02  34113354,105.6,135939,서울특별시 강남구 개포동 14-5번지 지하1층 ,서울특별시 강남구 개포로 621 (개포동지하1층),6336.0,최가남도마당,20100000000000.0,I,2018-08-31 23:59,한식,206888.9964,443553.3878,한식,-
영업,,19.8,135945,서울특별시 강남구 일원동 643-1번지 지상1층 ,서울특별시 강남구 양재대로55길 31 (일원동지상1층),6342.0,호프마을,20200000000000.0,U,2020-06-09 2:40,한식,207621.7844,443415.3027,한식,1007414282
영업,02  555 2110,122.0,135515,서울특별시 강남구 역삼동 788-15번지 신우빌딩 ,서울특별시 강남구 도곡로 203 신우빌딩 지상1층 (역삼동),6231.0,남다른감자탕 역삼본점,20200000000000.0,I,2018-08-31 23:59,한식,203555.3123,443394.1377,한식,1646343094
